antecedents,consequents,support,confidence,lift
frozenset({'condicionador'}),"frozenset({'pasta de dente', 'shampoo', 'refrigerante', 'sabao em po'})",0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),frozenset({'presunto'}),0.14285714285714285,1.0,7.0
frozenset({'presunto'}),frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),frozenset({'presunto'}),0.14285714285714285,1.0,7.0
frozenset({'presunto'}),frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
frozenset({'leite integral'}),frozenset({'sabonete'}),0.14285714285714285,1.0,7.0
frozenset({'sabonete'}),frozenset({'leite integral'}),0.14285714285714285,1.0,7.0
"frozenset({'leite integral', 'sabonete'})",frozenset({'presunto'}),0.14285714285714285,1.0,7.0
"frozenset({'shampoo', 'condicionador', 'refrigerante'})","frozenset({'pasta de dente', 'sabao em po'})",0.14285714285714285,1.0,7.0
"frozenset({'shampoo', 'condicionador', 'sabao em po'})","frozenset({'pasta de dente', 'refrigerante'})",0.14285714285714285,1.0,7.0
"frozenset({'shampoo', 'refrigerante', 'sabao em po'})","frozenset({'pasta de dente', 'condicionador'})",0.14285714285714285,1.0,7.0
"frozenset({'pasta de dente', 'condicionador', 'refrigerante'})","frozenset({'shampoo', 'sabao em po'})",0.14285714285714285,1.0,7.0
"frozenset({'pasta de dente', 'condicionador', 'sabao em po'})","frozenset({'shampoo', 'refrigerante'})",0.14285714285714285,1.0,7.0
"frozenset({'pasta de dente', 'refrigerante', 'sabao em po'})","frozenset({'shampoo', 'condicionador'})",0.14285714285714285,1.0,7.0
"frozenset({'pasta de dente', 'shampoo', 'condicionador'})","frozenset({'refrigerante', 'sabao em po'})",0.14285714285714285,1.0,7.0
"frozenset({'pasta de dente', 'shampoo', 'refrigerante'})","frozenset({'condicionador', 'sabao em po'})",0.14285714285714285,1.0,7.0
"frozenset({'pasta de dente', 'shampoo', 'sabao em po'})","frozenset({'condicionador', 'refrigerante'})",0.14285714285714285,1.0,7.0
